variance,entropy,type
0.2733333333333334,1.542169957436551,classical_cross
0.13138888888888886,1.171059869986371,classical_cross
0.36472222222222234,1.7671017439292658,classical_cross
0.24805555555555558,1.387557847555592,classical_cross
0.0988888888888889,1.2487805433524861,classical_cross
0.2558333333333333,1.464905009524163,classical_cross
0.07805555555555556,1.6069214245311811,classical_cross
0.062222222222222234,1.6731183626372508,classical_cross
0.17805555555555552,1.6324204943270348,classical_cross
0.03333333333333335,1.2554823251747536,classical_cross
0.25805555555555565,1.574892010358637,classical_cross
0.05472222222222223,1.3269201940456903,classical_cross
0.052222222222222225,1.583275505239873,classical_cross
0.12222222222222223,1.29190600733967,classical_cross
0.10555555555555556,1.4948643282941338,classical_cross
0.13916666666666663,1.2980356797306745,classical_cross
0.23888888888888893,1.4116473906215248,classical_cross
0.20222222222222222,1.6321684700065187,classical_cross
0.12000000000000001,0.6931471805579454,classical_cross
0.14250000000000002,1.329010612777327,classical_cross
0.18222222222222226,1.4706181571989005,classical_cross
0.12138888888888888,1.533590800312383,classical_cross
0.014722222222222225,1.4750763110496947,classical_cross
0.09472222222222221,1.4799062391171764,classical_cross
0.04666666666666667,1.6933717528628889,classical_cross
0.1491666666666667,1.4585847528020077,classical_cross
0.14805555555555558,1.2530462261085415,classical_cross
0.5147222222222223,1.557928833678316,classical_cross
0.06138888888888891,1.5887430728512082,classical_cross
0.02333333333333334,1.011404264704352,classical_cross
0.25222222222222224,1.4116473906215248,classical_cross
0.2613888888888889,1.40912941612015,classical_cross
0.10666666666666669,1.6652445011862433,classical_cross
0.13333333333333333,1.4404817415874867,classical_cross
0.21583333333333332,1.7241398742588105,classical_cross
0.22805555555555554,0.9403716526210744,classical_cross
0.2488888888888889,1.62413877020604,classical_cross
0.16868055555555558,1.510335809354216,classical_cross
0.05666666666666668,1.5384459459043842,classical_cross
0.1288888888888889,1.4877983799956511,classical_cross
0.10666666666666669,1.4658586321507423,classical_cross
0.03333333333333334,1.6957425341636347,classical_cross
0.17999999999999997,1.3054616844476954,classical_cross
0.17138888888888892,1.2446725381667778,classical_cross
0.33000000000000007,1.6070671311273546,classical_cross
0.2488888888888889,1.5175707163911851,classical_cross
0.06472222222222222,1.6849305581878593,classical_cross
0.11333333333333336,1.252762968490368,classical_cross
0.20583333333333334,1.3060091503268638,classical_cross
0.10666666666666667,1.765057252219629,classical_cross
0.2225,1.6409232355700183,classical_cross
0.05888888888888888,1.4201164366834957,classical_cross
0.15916666666666665,1.6656937036602837,classical_cross
0.038055555555555565,1.5643701028867685,classical_cross
0.35222222222222227,1.6020559154527263,classical_cross
0.0,0.0,classical_cross
0.11222222222222224,1.4244427784986178,classical_cross
0.08868055555555558,1.2419377502754951,classical_cross
0.14805555555555558,0.9908353864408492,classical_cross
0.0,0.0,classical_cross
0.05666666666666667,1.6108289211581623,classical_cross
0.06666666666666667,1.3579778549823245,classical_cross
0.22472222222222224,1.6301001713880645,classical_cross
0.05138888888888887,1.4303498314046883,classical_cross
0.10666666666666667,1.4658586321507423,classical_cross
0.11472222222222221,0.9839614459980255,classical_cross
0.34138888888888896,1.781594962446805,classical_cross
0.2522222222222223,1.3730039128711997,classical_cross
0.1322222222222222,1.4609707477168157,classical_cross
0.30249999999999994,1.6816460119414585,classical_cross
0.18916666666666668,1.4994268582183765,classical_cross
0.07916666666666668,1.4966966288926278,classical_cross
0.11916666666666668,1.072016968559193,classical_cross
0.012500000000000011,1.0549201679831441,classical_cross
0.2980555555555556,1.481928922104283,classical_cross
0.15000000000000002,1.6417522132852445,classical_cross
0.06472222222222222,1.6699532766327287,classical_cross
0.1625,1.5390846424217732,classical_cross
0.045833333333333344,0.8486855577234171,classical_cross
0.18472222222222226,1.448154046952086,classical_cross
0.2355555555555556,1.5850821788431297,classical_cross
0.11222222222222222,1.0699173418123822,classical_cross
0.1458333333333333,0.3046360973472382,classical_cross
0.44222222222222224,1.675817751993017,classical_cross
0.1580555555555556,1.3580825157038268,classical_cross
0.19222222222222227,1.224068338001115,classical_cross
0.0888888888888889,1.5481155268680171,classical_cross
0.19000000000000006,0.8815322611851637,classical_cross
0.03805555555555556,0.796311640170813,classical_cross
0.3247222222222222,1.6384200745040989,classical_cross
0.0413888888888889,1.3269201940456903,classical_cross
0.2347222222222222,1.6635058331851984,classical_cross
0.21138888888888893,1.3807588851493706,classical_cross
0.07222222222222222,1.3579778549823245,classical_cross
0.16888888888888887,0.9832739442433891,classical_cross
0.2188888888888889,1.51309291639675,classical_cross
0.24333333333333332,1.4638325709990645,classical_cross
0.13555555555555554,1.6443710869330583,classical_cross
0.14472222222222222,1.4391741154163273,classical_cross
0.21805555555555556,1.4994268582183765,classical_cross
0.07222222222222226,1.50346078724783,classical_cross
0.19666666666666668,1.6786567098636456,classical_cross
0.16888888888888895,1.4752466664392558,classical_cross
0.3055555555555555,1.4888234406869927,classical_cross
0.0766666666666667,1.5430293192540039,classical_cross
0.22222222222222224,0.6931471805579453,classical_cross
0.2014583333333333,1.5227181624518624,classical_cross
0.05583333333333334,1.235144651528666,classical_cross
0.25333333333333335,1.574248502844944,classical_cross
0.1333333333333334,1.2554823251747536,classical_cross
0.011388888888888898,1.3321790402061222,classical_cross
0.4288888888888889,1.7337616781082217,classical_cross
0.0,0.0,classical_cross
0.09138888888888892,1.594981797384107,classical_cross
0.34333333333333343,1.4377014436369415,classical_cross
0.18805555555555556,1.256637906745007,classical_cross
0.4188888888888889,1.508832763603656,classical_cross
0.24000000000000007,1.2270669900727607,classical_cross
0.38805555555555554,1.5152319918502763,classical_cross
0.07666666666666666,1.6479184329961647,classical_cross
0.20138888888888884,1.54087569374642,classical_cross
0.3247222222222222,1.6361339780033894,classical_cross
0.22222222222222224,0.6931471805579453,classical_cross
0.26916666666666667,1.5433384086557353,classical_cross
0.20916666666666664,1.614259427338131,classical_cross
0.06333333333333335,0.9502705392302346,classical_cross
0.05472222222222222,1.6002235455383396,classical_cross
0.04333333333333333,1.5654451070573328,classical_cross
0.123125,1.6154372528067027,classical_cross
0.11555555555555556,1.424442778498618,classical_cross
0.3258333333333333,1.4428026225593715,classical_cross
0.15472222222222226,1.3163022657925958,classical_cross
0.17805555555555552,1.4347409242876652,classical_cross
0.33888888888888896,1.4332254589035203,classical_cross
0.06472222222222225,1.5663734603256572,classical_cross
0.1547222222222223,1.236477074581904,classical_cross
0.10805555555555556,1.4529978626709408,classical_cross
0.023333333333333327,1.695742534163635,classical_cross
0.18888888888888888,1.6664530027169568,classical_cross
0.1988888888888889,1.3705151742829562,classical_cross
0.18888888888888888,1.3923212547524293,classical_cross
0.22222222222222224,1.293313253713591,classical_cross
0.2447222222222222,1.5685086363291274,classical_cross
0.06583333333333335,1.3792922544666752,classical_cross
0.1358333333333333,1.4976864074806397,classical_cross
0.24333333333333332,1.6200997959622874,classical_cross
0.05916666666666668,1.2882523050189003,classical_cross
0.19000000000000003,1.5376690946080502,classical_cross
0.024722222222222232,1.2770342594621393,classical_cross
0.1388888888888889,1.4555137751735332,classical_cross
